item_id,predicted_demand
0,805.0
1,524.695
2,630.185
3,694.6080000000001
4,913.745
5,913.76
6,961.27
7,565.175
8,693.5260000000001
9,643.92
10,979.985
11,515.185
12,582.105
13,885.5954166666667
14,901.0
15,899.975
16,840.725
17,733.2755000000001
18,780.125
19,847.64
20,689.8610000000002
21,920.905
22,844.955
23,810.38
24,765.317
25,605.4279999999999
26,890.8420000000004
27,739.0625
28,700.04
29,967.6231666666667
30,691.7570000000001
31,905.875
32,960.0775
33,525.25
34,518.925
35,593.825
36,840.75
37,942.26
38,655.175
39,775.025
40,930.025
41,744.555
42,972.985
43,544.4980869783811
44,863.8153356643357
45,665.325
46,834.93
47,734.9975
48,723.555
49,899.975
50,515.185
51,611.6689999999995
52,529.25
53,550.6503831324259
54,694.663
55,539.465
56,944.59
57,894.6590000000001
58,967.6481666666668
59,830.325
60,800.0
61,857.6637121212121
62,584.415
63,814.7819999999991
64,851.0
65,724.185
66,920.905
67,594.35
68,954.52
69,506.31
70,611.6289999999993
71,892.6940000000004
72,988.0205127272731
73,590.265
74,643.985
75,635.47
76,611.6379999999995
77,954.52
78,814.4529999999991
79,934.805
80,565.035
81,684.2460000000001
82,828.9
83,960.0775
84,840.065
85,830.4
86,630.355
87,675.365
88,555.145
89,760.1
90,931.015
91,641.64
92,617.9589999999998
93,715.14
94,611.6809999999994
95,750.075
96,733.3055
97,780.175
98,978.0
99,935.285
